Date,Open Price,Close Price,High Price,Low Price,Volume
21-Mar-14,3089.09,3096.49,3110.39,3086.26,0
24-Mar-14,3092.56,3052.91,3098.22,3046.83,0
25-Mar-14,3059.23,3096.64,3104.71,3059.23,0
26-Mar-14,3102.97,3130.17,3140.31,3102.97,0
27-Mar-14,3124.15,3133.75,3137.87,3116.04,0
28-Mar-14,3140.65,3172.43,3172.43,3140.65,0
31-Mar-14,3181.35,3161.6,3185.68,3159.75,0
01-Apr-14,3169.49,3186.34,3194.67,3169.06,0
02-Apr-14,3188.91,3187.45,3195.14,3182.4,0
03-Apr-14,3190.64,3206.76,3220.3,3183,0
04-Apr-14,3209.81,3230.33,3239.14,3205.15,0
07-Apr-14,3217.83,3185.97,3218.95,3184.06,0
08-Apr-14,3190.24,3177.66,3192.42,3146.9,0
09-Apr-14,3179.52,3182.79,3194.62,3174.1,0
10-Apr-14,3189.62,3152.86,3196.69,3150.47,0
11-Apr-14,3137.66,3116.54,3138.24,3096.47,0
14-Apr-14,3108.65,3131.57,3131.57,3083.43,0
15-Apr-14,3130.15,3091.52,3139.66,3091.19,0
16-Apr-14,3116.46,3139.26,3139.26,3113.47,0
17-Apr-14,3140.12,3155.81,3156.64,3121.82,0
22-Apr-14,3161.69,3199.69,3201.25,3157.4,0
23-Apr-14,3197.39,3175.97,3198.6,3175.22,0
24-Apr-14,3188.38,3189.81,3206.8,3150.79,0
25-Apr-14,3179.34,3147.4,3179.34,3137.21,0
28-Apr-14,3155.32,3165.84,3177.94,3151.72,0
29-Apr-14,3168.6,3208.68,3212.51,3168.6,0
30-Apr-14,3201.12,3198.39,3204.76,3186.96,0
02-May-14,3194.01,3177.89,3199.45,3171.74,0
05-May-14,3171.18,3171.29,3173.51,3129.7,0
06-May-14,3176.29,3149.79,3183.49,3141.82,0
07-May-14,3137.35,3159.67,3167.86,3129.08,0
08-May-14,3165.72,3204.3,3204.3,3153.03,0
09-May-14,3199.22,3184.09,3199.22,3174.12,0
12-May-14,3184.44,3206.97,3211.32,3181.59,0
13-May-14,3211.19,3211.78,3218.36,3202.21,0
14-May-14,3213.12,3210.42,3213.46,3199.39,0
15-May-14,3211.24,3163.22,3224.29,3159.15,0
16-May-14,3158.33,3172.72,3175.25,3142.85,0
19-May-14,3169.26,3169.9,3174.57,3134.76,0
20-May-14,3166.87,3163.93,3175.8,3155.63,0
21-May-14,3156.91,3187.08,3190.23,3143.56,0
22-May-14,3189.03,3187.63,3192.57,3171.77,0
23-May-14,3189.08,3203.28,3205.01,3178.56,0
26-May-14,3211.26,3240.39,3240.39,3211.26,0
27-May-14,3235.87,3244.28,3249.69,3230.58,0
28-May-14,3242.16,3246.24,3246.24,3233.37,0
29-May-14,3245.54,3244.66,3250.34,3235.87,0
30-May-14,3238.97,3244.6,3249.05,3233.86,0
02-Jun-14,3247.54,3247.8,3256,3236.53,0
03-Jun-14,3247.27,3241.04,3251.64,3233.08,0
04-Jun-14,3236.02,3237.93,3243,3217.87,0
